SalePrice,Id
111377.9194870732,1461
164273.1426927762,1462
179482.30432898525,1463
197790.94729883948,1464
195981.34643729727,1465
168707.75218656572,1466
181204.9381021365,1467
162523.06971485494,1468
182393.1066616616,1469
126342.75563178482,1470
174897.11524213516,1471
95367.23891858265,1472
95255.0725676386,1473
150438.3875954943,1474
124614.3005045097,1475
348292.2158709971,1476
253897.94825233961,1477
294369.3686863542,1478
273209.2377190051,1479
510098.06794192834,1480
314236.6775290563,1481
209606.71999121175,1482
170014.21963474993,1483
165207.12269329512,1484
183073.73249075396,1485
189443.9537545236,1486
319548.2149216161,1487
235079.56110902547,1488
193931.63931407643,1489
232935.0910687747,1490
191700.93423310132,1491
85342.13616469053,1492
171008.49249138427,1493
284870.9926747954,1494
283588.27740462363,1495
229826.29870397336,1496
173713.39211866073,1497
196550.87340918064,1498
153470.2798471292,1499
161176.18588724558,1500
174974.8882063863,1501
140097.54338574476,1502
287969.61422889575,1503
245404.50830151862,1504
223832.83281381815,1505
188572.93662355887,1506
247676.179017275,1507
199031.89424940874,1508
152043.26566536247,1509
147501.4680047767,1510
180045.06432718367,1511
166068.3643594936,1512
150866.6576436124,1513
148715.01277952874,1514
186378.20841946077,1515
147499.37254151926,1516
167924.1656565209,1517
124493.06950927757,1518
206941.64135245836,1519
132475.56353510098,1520
131873.53447953146,1521
170943.6067290461,1522
116457.328346351,1523
125710.98056490665,1524
115585.77463501296,1525
112197.52076805008,1526
109263.487089029,1527
137338.0048163492,1528
161583.0967465382,1529
206360.78360302694,1530
119097.74049554882,1531
91528.664500449,1532
152707.4917985094,1533
83000.1498223588,1534
143787.89087001022,1535
100836.3755686446,1536
58207.65225682097,1537
147384.98563151952,1538
200739.12860195065,1539
77734.20983927777,1540
136138.00064365525,1541
157432.43062176876,1542
201116.62295724667,1543
83232.51489844375,1544
119341.47341173746,1545
134627.1572690819,1546
136555.22974376605,1547
144919.71153171416,1548
127905.70923922633,1549
129786.80227395821,1550
100900.51001544869,1551
135438.5160930063,1552
135454.78809311092,1553
114339.39534537413,1554
163739.8508818161,1555
89032.06519106387,1556
126682.62836219346,1557
99590.44431048771,1558
57621.267876036196,1559
131827.74042740915,1560
135396.55540193146,1561
137474.1519403791,1562
126068.98602532956,1563
162013.18129477568,1564
138221.0425193636,1565
237957.2385496531,1566
78787.80672437465,1567
239134.26901266887,1568
133555.7530871567,1569
126928.23467979362,1570
125773.74285797504,1571
143672.36341279137,1572
173780.61088849072,1573
118755.73030544573,1574
224751.72569195632,1575
249805.1086122291,1576
181031.32209632514,1577
132722.8168189933,1578
148127.90769300773,1579
186856.96092023648,1580
162433.35793613526,1581
126893.64094769904,1582
308842.84407481865,1583
210697.88033413963,1584
135484.0584828031,1585
67926.87687344066,1586
97268.45074438161,1587
152320.30167521126,1588
97482.1466929777,1589
131848.0663229711,1590
97256.20922603943,1591
118587.49469341758,1592
115361.3535551493,1593
126489.99001141496,1594
108947.20412566129,1595
215341.57077380794,1596
198453.49987498167,1597
224263.01897561917,1598
173169.17352596816,1599
166999.05157186,1600
66052.37424176511,1601
106069.51292665549,1602
58024.60879154842,1603
268648.2997045175,1604
233063.32379520164,1605
164916.7627057003,1606
181825.26563801893,1607
209841.62797378842,1608
174720.6131180339,1609
148738.0067164211,1610
137845.30570108685,1611
167858.6433732713,1612
162589.3834872902,1613
120078.01612201508,1614
89570.83733363087,1615
78911.89506068683,1616
89888.83560844805,1617
151212.2709251815,1618
132729.09450361945,1619
162443.21224319932,1620
126790.05404848802,1621
142948.37301424317,1622
243701.35208248306,1623
207417.01091818727,1624
106694.54697950027,1625
168049.42104106213,1626
190460.24972065372,1627
264956.7153368199,1628
179702.26899585105,1629
356824.5085009523,1630
226981.13537770652,1631
240543.29160420125,1632
166038.22265513183,1633
179371.992798282,1634
169340.43542498993,1635
149166.67119340436,1636
210147.0694652762,1637
178869.69155871272,1638
184874.7876452362,1639
244743.24613535093,1640
182979.08652872228,1641
250926.95977205495,1642
212524.16400419784,1643
217427.5856960952,1644
232259.5608295773,1645
153029.58674104823,1646
151055.62653225914,1647
129233.57500443692,1648
